Mean Overscan Level (ADU),Detector,Amp,Run,READTIME setting,exp_id
26429.126345876346,R12_S12,C13,13040,2.232,3021111600210
26881.92612942613,R12_S12,C14,13040,2.232,3021111600210
26569.93574018574,R12_S12,C15,13040,2.232,3021111600210
26920.708846708847,R12_S12,C16,13040,2.232,3021111600210
26851.50641950642,R12_S12,C17,13040,2.232,3021111600210
26444.116161616163,R12_S12,C07,13040,2.232,3021111600210
26698.6533004033,R12_S12,C06,13040,2.232,3021111600210
26862.163604913603,R12_S12,C05,13040,2.232,3021111600210
26797.70498945499,R12_S12,C04,13040,2.232,3021111600210
26679.80588855589,R12_S12,C03,13040,2.232,3021111600210
26787.212426462425,R12_S12,C02,13040,2.232,3021111600210
26645.657916157917,R12_S12,C01,13040,2.232,3021111600210
26935.260017760018,R12_S12,C00,13040,2.232,3021111600210
26733.389157139158,R12_S12,C10,13040,2.232,3021111600211
26809.513153513155,R12_S12,C11,13040,2.232,3021111600211
26615.062132312134,R12_S12,C12,13040,2.232,3021111600211
26429.110204610206,R12_S12,C13,13040,2.232,3021111600211
26881.67811817812,R12_S12,C14,13040,2.232,3021111600211
26570.128066378067,R12_S12,C15,13040,2.232,3021111600211
26921.050135050136,R12_S12,C16,13040,2.232,3021111600211
26851.85446960447,R12_S12,C17,13040,2.232,3021111600211
26444.46028046028,R12_S12,C07,13040,2.232,3021111600211
26698.625661375663,R12_S12,C06,13040,2.232,3021111600211
26862.03626003626,R12_S12,C05,13040,2.232,3021111600211
26796.5932030932,R12_S12,C04,13040,2.232,3021111600211
26679.35583860584,R12_S12,C03,13040,2.232,3021111600211
26787.902893402894,R12_S12,C02,13040,2.232,3021111600211
26645.88554963555,R12_S12,C01,13040,2.232,3021111600211
26935.201465201466,R12_S12,C00,13040,2.232,3021111600211
26733.28502978503,R12_S12,C10,13040,2.232,3021111600212
26810.046684796685,R12_S12,C11,13040,2.232,3021111600212
26614.95979020979,R12_S12,C12,13040,2.232,3021111600212
26429.076543826544,R12_S12,C13,13040,2.232,3021111600212
26881.758824508823,R12_S12,C14,13040,2.232,3021111600212
26569.813297813296,R12_S12,C15,13040,2.232,3021111600212
26921.158526658528,R12_S12,C16,13040,2.232,3021111600212
26851.62420912421,R12_S12,C17,13040,2.232,3021111600212
26444.179246679247,R12_S12,C07,13040,2.232,3021111600212
26698.414816664816,R12_S12,C06,13040,2.232,3021111600212
26862.116503866502,R12_S12,C05,13040,2.232,3021111600212
26797.126170126172,R12_S12,C04,13040,2.232,3021111600212
26679.204970954972,R12_S12,C03,13040,2.232,3021111600212
26788.003644503646,R12_S12,C02,13040,2.232,3021111600212
26646.22731897732,R12_S12,C01,13040,2.232,3021111600212
26935.542744292743,R12_S12,C00,13040,2.232,3021111600212
26733.272403522402,R12_S12,C10,13040,2.232,3021111600213
26810.18842268842,R12_S12,C11,13040,2.232,3021111600213
26614.769933769934,R12_S12,C12,13040,2.232,3021111600213
26429.820929070927,R12_S12,C13,13040,2.232,3021111600213
26882.288082288083,R12_S12,C14,13040,2.232,3021111600213
26570.03403078403,R12_S12,C15,13040,2.232,3021111600213
26921.576765826765,R12_S12,C16,13040,2.232,3021111600213
26852.047443297444,R12_S12,C17,13040,2.232,3021111600213
26444.298174048174,R12_S12,C07,13040,2.232,3021111600213
26698.702010952013,R12_S12,C06,13040,2.232,3021111600213
26862.29859029859,R12_S12,C05,13040,2.232,3021111600213
26797.126336626337,R12_S12,C04,13040,2.232,3021111600213
26679.44180819181,R12_S12,C03,13040,2.232,3021111600213
